,rank,last_week_rank,hmm,title,artist,label,peak_rank,weeks_on_chart,week_of
259,60,            New,        ,MILLION BUCKS,JAY1,GRM RECORDS/PARLOPHONE,60,1,December 13 2019
260,61,            73,        ,JINGLE BELL ROCK,BOBBY HELMS,MCA,41,8,December 13 2019
261,62,            84,        ,CHRISTMAS LIGHTS,COLDPLAY,PARLOPHONE,13,27,December 13 2019
262,63,            74,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,37,December 13 2019
263,64,            79,        ,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE,REPRISE,34,12,December 13 2019
264,65,            80,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,25,December 13 2019
265,66,            New,        ,DECEMBER,BUGZY MALONE,ISLAND,66,1,December 13 2019
266,67,            82,        ,WHITE CHRISTMAS,BING CROSBY,DECCA,5,32,December 13 2019
267,68,            54,        ,FRENCH KISSES,ZIEZIE FT AITCH,RCA/SINCE 93,35,3,December 13 2019
268,69,            New,        ,MY OH MY,CAMILA CABELLO FT DABABY,SYCO MUSIC,69,1,December 13 2019
269,70,            75,        ,SLEIGH RIDE,RONETTES,SONY MUSIC,58,8,December 13 2019
270,71,            New,        ,CHRISTMAS TREE FARM,TAYLOR SWIFT,EMI,71,1,December 13 2019
271,72,            81,        ,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY,PARLOPHONE,6,30,December 13 2019
272,73,            Re,        ,CHRISTMAS (BABY PLEASE COME HOME),DARLENE LOVE,LEGACY RECORDINGS,22,6,December 13 2019
273,74,            53,        ,LOYAL,PARTYNEXTDOOR FT DRAKE,PARLOPHONE,31,3,December 13 2019
274,75,            Re,        ,I DON'T CARE,ED SHEERAN & JUSTIN BIEBER,ASYLUM/DEF JAM,1,20,December 13 2019
275,76,            New,        ,NO IDEA,DON TOLIVER,ATLANTIC,76,1,December 13 2019
276,77,            83,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,3,41,December 13 2019
277,78,            41,        ,PRIDE,NINES,WARNER RECORDS,41,2,December 13 2019
278,79,            New,        ,ALL GIRLS ARE THE SAME,JUICE WRLD,INTERSCOPE,79,1,December 13 2019
279,80,            90,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,38,December 13 2019
280,81,            95,        ,STAY ANOTHER DAY,EAST 17,LONDON,1,47,December 13 2019
281,82,            63,        ,OPP THOT,POUNDZ,DISTURBING LONDON,33,9,December 13 2019
282,83,            52,        ,ORPHANS,COLDPLAY,PARLOPHONE,27,7,December 13 2019
283,84,            98,        ,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN,CAPITOL,54,17,December 13 2019
284,85,            66,        ,SHOW YOURSELF,IDINA MENZEL/EVAN RACHEL WOOD,WALT DISNEY,66,3,December 13 2019
285,86,            25,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,12,13,December 13 2019
286,87,            38,        ,NICE TO MEET YA,NIALL HORAN,CAPITOL,22,10,December 13 2019
287,88,            88,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,24,December 13 2019
288,89,            71,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,8,14,December 13 2019
289,90,            72,        ,FLOSS,AJ TRACEY FT MOSTACK & NOT3S,AJ TRACEY,22,7,December 13 2019
290,91,            64,        ,PAPER CUTS,DAVE,DAVE NEIGHBOURHOOD,15,5,December 13 2019
291,92,            Re,        ,VOSSI BOP,STORMZY,MERKY,1,31,December 13 2019
292,93,            99,        ,BOP,DABABY,INTERSCOPE,92,3,December 13 2019
293,94,            70,        ,LOVER,TAYLOR SWIFT,EMI,14,13,December 13 2019
294,95,            30,        ,HIGHEST IN THE ROOM,TRAVIS SCOTT,CACTUS JACK/EPIC/GRAND HUSTLE,2,10,December 13 2019
295,96,            Re,        ,LOCATION,DAVE FT BURNA BOY,DAVE NEIGHBOURHOOD,6,39,December 13 2019
296,97,            69,        ,UP ALL NIGHT,KHALID,RIGHT HAND MUSIC,55,4,December 13 2019
297,98,            Re,        ,RANSOM,LIL TECCA,GALACTIC,7,25,December 13 2019
298,99,            Re,        ,SOMEWHERE ONLY WE KNOW,LILY ALLEN,PARLOPHONE,1,16,December 13 2019
299,100,            Re,        ,CHRISTMAS TIME (DON'T LET THE BELLS END),DARKNESS,MUST DESTROY,2,28,December 13 2019
300,1,            1,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,18,December 06 2019
301,2,            2,        ,BEFORE YOU GO,LEWIS CAPALDI,EMI,2,3,December 06 2019
302,3,            3,        ,OWN IT,STORMZY/ED SHEERAN/BURNA BOY,ATLANTIC/MERKY,3,2,December 06 2019
303,4,            4,        ,DON'T START NOW,DUA LIPA,WARNER RECORDS,2,5,December 06 2019
304,5,            7,        ,ROXANNE,ARIZONA ZERVAS,SONY MUSIC,5,5,December 06 2019
305,6,            5,        ,EVERYTHING I WANTED,BILLIE EILISH,INTERSCOPE,3,3,December 06 2019
306,7,            8,        ,MEMORIES,MAROON 5,INTERSCOPE,5,11,December 06 2019
307,8,            34,        ,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA,2,96,December 06 2019
308,9,            9,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,4,10,December 06 2019
309,10,            64,        ,HEARTLESS,WEEKND,REPUBLIC RECORDS/XO,10,2,December 06 2019
310,11,            6,        ,BRUISES,LEWIS CAPALDI,EMI,6,27,December 06 2019
311,12,            New,        ,BLINDING LIGHTS,WEEKND,REPUBLIC RECORDS,12,1,December 06 2019
312,13,            43,        ,LAST CHRISTMAS,WHAM,RCA,2,61,December 06 2019
313,14,            57,        ,RIVER,ELLIE GOULDING,POLYDOR,14,2,December 06 2019
314,15,            11,        ,LOSE YOU TO LOVE ME,SELENA GOMEZ,INTERSCOPE,3,7,December 06 2019
315,16,            13,        ,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS,POLYDOR,11,8,December 06 2019
316,17,            10,        ,DOWN LIKE THAT,KSI/RICK ROSS/LIL BABY/S-X,BMG,10,4,December 06 2019
317,18,            14,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,14,11,December 06 2019
318,19,            12,        ,GOOD AS HELL,LIZZO,ATLANTIC,7,19,December 06 2019
319,20,            21,        ,PUMP IT UP,ENDOR,DEFECTED,20,8,December 06 2019
320,21,            18,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,18,11,December 06 2019
321,22,            71,        ,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS,2,96,December 06 2019
322,23,            77,        ,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY,1,77,December 06 2019
323,24,            19,        ,NETFLIX & CHILL,FREDO,SINCE 93,13,4,December 06 2019
324,25,            17,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,12,12,December 06 2019
325,26,            82,        ,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,RCA,1,68,December 06 2019
326,27,            22,        ,PROFESSOR X,DAVE,WARNER RECORDS,12,12,December 06 2019
327,28,            20,        ,MUST BE,J HUS,BLACK BUTTER,5,4,December 06 2019
328,29,            15,        ,LIGHTS UP,HARRY STYLES,COLUMBIA,3,8,December 06 2019
329,30,            23,        ,HIGHEST IN THE ROOM,TRAVIS SCOTT,CACTUS JACK/EPIC/GRAND HUSTLE,2,9,December 06 2019
330,31,            25,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,16,December 06 2019
331,32,            87,        ,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE,REPRISE,7,30,December 06 2019
332,33,            79,        ,SANTA TELL ME,ARIANA GRANDE,REPUBLIC RECORDS,13,15,December 06 2019
333,34,            26,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,49,December 06 2019
334,35,            16,        ,NEW DIOR,DIGDAT FT D-BLOCK EUROPE,COLUMBIA,16,2,December 06 2019
335,36,            36,        ,INTO THE UNKNOWN,IDINA MENZEL & AURORA,WALT DISNEY,36,2,December 06 2019
336,37,            29,        ,DON'T RUSH,YOUNG T & BUGSEY FT HEADIE ONE,BLACK BUTTER,27,4,December 06 2019
337,38,            24,        ,NICE TO MEET YA,NIALL HORAN,CAPITOL,22,9,December 06 2019
338,39,            Re,        ,STEP INTO CHRISTMAS,ELTON JOHN,MERCURY,10,35,December 06 2019
339,40,            46,        ,FALLING,TREVOR DANIEL,ALAMO,40,2,December 06 2019
340,41,            New,        ,PRIDE,NINES,WARNER RECORDS,41,1,December 06 2019
341,42,            Re,        ,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA,6,44,December 06 2019
342,43,            Re,        ,ONE MORE SLEEP,LEONA LEWIS,SYCO MUSIC,3,20,December 06 2019
343,44,            Re,        ,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI,12,54,December 06 2019
344,45,            38,        ,BETTER HALF OF ME,TOM WALKER,RELENTLESS,38,6,December 06 2019
345,46,            30,        ,GOD IS A DANCER,TIESTO & MABEL,POLYDOR,15,11,December 06 2019
346,47,            Re,        ,MERRY XMAS EVERYBODY,SLADE,UMTV,1,95,December 06 2019
347,48,            33,        ,GANGSTA,DARKOO & ONE ACEN,DARKOO,33,4,December 06 2019
348,49,            Re,        ,UNDERNEATH THE TREE,KELLY CLARKSON,RCA,30,16,December 06 2019
349,50,            42,        ,WE GOT LOVE,SIGALA FT ELLA HENDERSON,MINISTRY OF SOUND,42,5,December 06 2019
350,51,            32,        ,LIAR,CAMILA CABELLO,EPIC/SYCO MUSIC,21,13,December 06 2019
351,52,            27,        ,ORPHANS,COLDPLAY,PARLOPHONE,27,6,December 06 2019
352,53,            31,        ,LOYAL,PARTYNEXTDOOR FT DRAKE,PARLOPHONE,31,2,December 06 2019
353,54,            35,        ,FRENCH KISSES,ZIEZIE FT AITCH,RCA/SINCE 93,35,2,December 06 2019
354,55,            28,        ,WATERMELON SUGAR,HARRY STYLES,COLUMBIA,28,3,December 06 2019
355,56,            Re,        ,SANTA'S COMING FOR US,SIA,ATLANTIC/MONKEY PUZZLE,24,9,December 06 2019
356,57,            37,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,3,14,December 06 2019
357,58,            Re,        ,MISTLETOE,JUSTIN BIEBER,DEF JAM,21,20,December 06 2019
358,59,            Re,        ,DRIVING HOME FOR CHRISTMAS,CHRIS REA,WARNER BROS,11,53,December 06 2019
359,60,            44,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,19,December 06 2019
360,61,            Re,        ,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS,SONY MUSIC,17,32,December 06 2019
361,62,            45,        ,10000 HOURS,DAN & SHAY FT JUSTIN BIEBER,DEF JAM/WARNER RECORDS,17,9,December 06 2019
362,63,            41,        ,OPP THOT,POUNDZ,DISTURBING LONDON,33,8,December 06 2019
363,64,            40,        ,PAPER CUTS,DAVE,DAVE NEIGHBOURHOOD,15,4,December 06 2019
364,65,            39,        ,CAN'T FIGHT THIS FEELING,BASTILLE,VIRGIN,39,3,December 06 2019
365,66,            68,        ,SHOW YOURSELF,IDINA MENZEL/EVAN RACHEL WOOD,WALT DISNEY,66,2,December 06 2019
366,67,            48,        ,THE LAST TIME,SCRIPT,COLUMBIA,32,11,December 06 2019
367,68,            Re,        ,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND,APPLE CORPS,18,35,December 06 2019
368,69,            55,        ,UP ALL NIGHT,KHALID,RIGHT HAND MUSIC,55,3,December 06 2019
369,70,            49,        ,LOVER,TAYLOR SWIFT,EMI,14,12,December 06 2019
370,71,            51,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,8,13,December 06 2019
371,72,            52,        ,FLOSS,AJ TRACEY FT MOSTACK & NOT3S,AJ TRACEY,22,6,December 06 2019
372,73,            Re,        ,JINGLE BELL ROCK,BOBBY HELMS,MCA,41,7,December 06 2019
373,74,            61,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,36,December 06 2019
374,75,            Re,        ,SLEIGH RIDE,RONETTES,SONY MUSIC,58,7,December 06 2019
375,76,            56,        ,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,ASYLUM/COLUMBIA,1,23,December 06 2019
376,77,            50,        ,JERRY SPRUNGER,TORY LANEZ & T-PAIN,VIRGIN,32,4,December 06 2019
377,78,            Re,        ,COZY LITTLE CHRISTMAS,KATY PERRY,VIRGIN,23,4,December 06 2019
378,79,            Re,        ,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE,REPRISE,34,11,December 06 2019
379,80,            53,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,24,December 06 2019
380,81,            Re,        ,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY,PARLOPHONE,6,29,December 06 2019
381,82,            Re,        ,WHITE CHRISTMAS,BING CROSBY,DECCA,5,31,December 06 2019
382,83,            58,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,3,40,December 06 2019
383,84,            Re,        ,CHRISTMAS LIGHTS,COLDPLAY,PARLOPHONE,13,26,December 06 2019
384,85,            74,        ,INTO THE UNKNOWN,PANIC AT THE DISCO,WALT DISNEY,74,2,December 06 2019
385,86,            47,        ,FOLLOW GOD,KANYE WEST,DEF JAM,6,6,December 06 2019
386,87,            New,        ,RUN,X FACTOR CELEBRITIES 2019,SYCO MUSIC,87,1,December 06 2019
387,88,            60,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,23,December 06 2019
388,89,            New,        ,W,KOFFEE FT GUNNA,COLUMBIA,89,1,December 06 2019
389,90,            69,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,37,December 06 2019
390,91,            73,        ,TRAMPOLINE,SHAED,CAROLINE,52,9,December 06 2019
391,92,            65,        ,BE HONEST,JORJA SMITH FT BURNA BOY,FAMM,8,16,December 06 2019
392,93,            54,        ,OUTNUMBERED,DERMOT KENNEDY,ISLAND,6,25,December 06 2019
393,94,            66,        ,TASTE (MAKE IT SHAKE),AITCH,SINCE 93,2,18,December 06 2019
394,95,            Re,        ,STAY ANOTHER DAY,EAST 17,LONDON,1,46,December 06 2019
395,96,            72,        ,G LOVE,KREPT & KONAN/WIZKID,VIRGIN,28,7,December 06 2019
396,97,            63,        ,TELL ME,KREPT & KONAN/D-BLOCK/HUSSLE,VIRGIN,23,5,December 06 2019
397,98,            Re,        ,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN,CAPITOL,54,16,December 06 2019
398,99,            92,        ,BOP,DABABY,INTERSCOPE,92,2,December 06 2019
399,100,            97,        ,SOME THINGS NEVER CHANGE,BELL/MENZEL/GAD/GROFF,WALT DISNEY,97,2,December 06 2019
400,1,            1,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,17,November 29 2019
401,2,            19,        ,BEFORE YOU GO,LEWIS CAPALDI,EMI,2,2,November 29 2019
402,3,            New,        ,OWN IT,STORMZY/ED SHEERAN/BURNA BOY,ATLANTIC/MERKY,3,1,November 29 2019
403,4,            2,        ,DON'T START NOW,DUA LIPA,WARNER RECORDS,2,4,November 29 2019
404,5,            3,        ,EVERYTHING I WANTED,BILLIE EILISH,INTERSCOPE,3,2,November 29 2019
405,6,            6,        ,BRUISES,LEWIS CAPALDI,EMI,6,26,November 29 2019
406,7,            10,        ,ROXANNE,ARIZONA ZERVAS,SONY MUSIC,7,4,November 29 2019
407,8,            5,        ,MEMORIES,MAROON 5,INTERSCOPE,5,10,November 29 2019
408,9,            7,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,4,9,November 29 2019
409,10,            22,        ,DOWN LIKE THAT,KSI/RICK ROSS/LIL BABY/S-X,BMG,10,3,November 29 2019
410,11,            9,        ,LOSE YOU TO LOVE ME,SELENA GOMEZ,INTERSCOPE,3,6,November 29 2019
411,12,            8,        ,GOOD AS HELL,LIZZO,ATLANTIC,7,18,November 29 2019
412,13,            12,        ,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS,POLYDOR,11,7,November 29 2019
413,14,            14,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,14,10,November 29 2019
414,15,            16,        ,LIGHTS UP,HARRY STYLES,COLUMBIA,3,7,November 29 2019
415,16,            New,        ,NEW DIOR,DIGDAT FT D-BLOCK EUROPE,COLUMBIA,16,1,November 29 2019
416,17,            15,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,12,11,November 29 2019
417,18,            20,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,18,10,November 29 2019
418,19,            17,        ,NETFLIX & CHILL,FREDO,SINCE 93,13,3,November 29 2019
419,20,            13,        ,MUST BE,J HUS,BLACK BUTTER,5,3,November 29 2019
420,21,            29,        ,PUMP IT UP,ENDOR,DEFECTED,21,7,November 29 2019
421,22,            18,        ,PROFESSOR X,DAVE,WARNER RECORDS,12,11,November 29 2019
422,23,            24,        ,HIGHEST IN THE ROOM,TRAVIS SCOTT,CACTUS JACK/EPIC/GRAND HUSTLE,2,8,November 29 2019
423,24,            25,        ,NICE TO MEET YA,NIALL HORAN,CAPITOL,22,8,November 29 2019
424,25,            4,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,15,November 29 2019
425,26,            28,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,48,November 29 2019
426,27,            44,        ,ORPHANS,COLDPLAY,PARLOPHONE,27,5,November 29 2019
427,28,            35,        ,WATERMELON SUGAR,HARRY STYLES,COLUMBIA,28,2,November 29 2019
428,29,            27,        ,DON'T RUSH,YOUNG T & BUGSEY FT HEADIE ONE,BLACK BUTTER,27,3,November 29 2019
429,30,            26,        ,GOD IS A DANCER,TIESTO & MABEL,POLYDOR,15,10,November 29 2019
430,31,            New,        ,LOYAL,PARTYNEXTDOOR FT DRAKE,PARLOPHONE,31,1,November 29 2019
431,32,            31,        ,LIAR,CAMILA CABELLO,EPIC/SYCO MUSIC,21,12,November 29 2019
432,33,            33,        ,GANGSTA,DARKOO & ONE ACEN,DARKOO,33,3,November 29 2019
433,34,            59,        ,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA,2,95,November 29 2019
434,35,            New,        ,FRENCH KISSES,ZIEZIE FT AITCH,RCA/SINCE 93,35,1,November 29 2019
435,36,            New,        ,INTO THE UNKNOWN,IDINA MENZEL & AURORA,WALT DISNEY,36,1,November 29 2019
436,37,            11,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,3,13,November 29 2019
437,38,            39,        ,BETTER HALF OF ME,TOM WALKER,RELENTLESS,38,5,November 29 2019
438,39,            94,        ,CAN'T FIGHT THIS FEELING,BASTILLE,VIRGIN,39,2,November 29 2019
439,40,            30,        ,PAPER CUTS,DAVE,DAVE NEIGHBOURHOOD,15,3,November 29 2019
440,41,            37,        ,OPP THOT,POUNDZ,DISTURBING LONDON,33,7,November 29 2019
441,42,            43,        ,WE GOT LOVE,SIGALA FT ELLA HENDERSON,MINISTRY OF SOUND,42,4,November 29 2019
442,43,            80,        ,LAST CHRISTMAS,WHAM,RCA,2,60,November 29 2019
443,44,            40,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,18,November 29 2019
444,45,            42,        ,10000 HOURS,DAN & SHAY FT JUSTIN BIEBER,DEF JAM/WARNER RECORDS,17,8,November 29 2019
445,46,            New,        ,FALLING,TREVOR DANIEL,ALAMO,46,1,November 29 2019
446,47,            36,        ,FOLLOW GOD,KANYE WEST,DEF JAM,6,5,November 29 2019
447,48,            41,        ,THE LAST TIME,SCRIPT,COLUMBIA,32,10,November 29 2019
448,49,            38,        ,LOVER,TAYLOR SWIFT,EMI,14,11,November 29 2019
449,50,            32,        ,JERRY SPRUNGER,TORY LANEZ & T-PAIN,VIRGIN,32,3,November 29 2019
450,51,            21,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,8,12,November 29 2019
451,52,            46,        ,FLOSS,AJ TRACEY FT MOSTACK & NOT3S,AJ TRACEY,22,5,November 29 2019
452,53,            48,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,23,November 29 2019
453,54,            23,        ,OUTNUMBERED,DERMOT KENNEDY,ISLAND,6,24,November 29 2019
454,55,            79,        ,UP ALL NIGHT,KHALID,RIGHT HAND MUSIC,55,2,November 29 2019
455,56,            50,        ,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,ASYLUM/COLUMBIA,1,22,November 29 2019
456,57,            New,        ,RIVER,ELLIE GOULDING,POLYDOR,57,1,November 29 2019
457,58,            51,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,3,39,November 29 2019
458,59,            New,        ,ONE I'VE BEEN MISSING,LITTLE MIX,RCA,59,1,November 29 2019
459,60,            45,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,22,November 29 2019
460,61,            63,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,35,November 29 2019
461,62,            New,        ,CASH TRAIN,GRM DAILY FT NOT3S/BLADE BROWN,GRM RECORDS/PARLOPHONE,62,1,November 29 2019
462,63,            52,        ,TELL ME,KREPT & KONAN/D-BLOCK/HUSSLE,VIRGIN,23,4,November 29 2019
463,64,            New,        ,HEARTLESS,WEEKND,REPUBLIC RECORDS/XO,64,1,November 29 2019
464,65,            55,        ,BE HONEST,JORJA SMITH FT BURNA BOY,FAMM,8,15,November 29 2019
465,66,            57,        ,TASTE (MAKE IT SHAKE),AITCH,SINCE 93,2,17,November 29 2019
466,67,            49,        ,SORRY,JOEL CORRY,PERFECT HAVOC,6,21,November 29 2019
467,68,            New,        ,SHOW YOURSELF,IDINA MENZEL/EVAN RACHEL WOOD,WALT DISNEY,68,1,November 29 2019
468,69,            60,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,36,November 29 2019
469,70,            64,        ,LOVE ME AGAIN,RAYE,POLYDOR,55,12,November 29 2019
470,71,            Re,        ,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS,2,95,November 29 2019
471,72,            54,        ,G LOVE,KREPT & KONAN/WIZKID,VIRGIN,28,6,November 29 2019
472,73,            58,        ,TRAMPOLINE,SHAED,CAROLINE,52,8,November 29 2019
473,74,            New,        ,INTO THE UNKNOWN,PANIC AT THE DISCO,WALT DISNEY,74,1,November 29 2019
474,75,            56,        ,GRAVEYARD,HALSEY,VIRGIN,29,11,November 29 2019
475,76,            61,        ,LOOK AT HER NOW,SELENA GOMEZ,INTERSCOPE,26,5,November 29 2019
476,77,            Re,        ,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY,1,76,November 29 2019
477,78,            68,        ,STRIKE A POSE,YOUNG T & BUGSEY FT AITCH,BLACK BUTTER,9,25,November 29 2019
478,79,            Re,        ,SANTA TELL ME,ARIANA GRANDE,REPUBLIC RECORDS,13,14,November 29 2019
